FakeNN JSON Name,Unnamed: 0,core0,core1,core2,core3,core4,core5,core6,core7,dma,Kernel Time
128x128x128w17-32-32,,412231.0,411181.0,411164.0,411179.0,411181.0,411196.0,411198.0,411198.0,455824.0,412234.0
128x128x128w18-32-32,,411811.0,411817.0,410771.0,410747.0,410737.0,410746.0,410754.0,410764.0,435809.0,411821.0
128x128x128w19-32-32,,355696.0,355706.0,355690.0,354639.0,354641.0,354664.0,354658.0,354658.0,400596.0,355711.0
128x128x128w20-32-32,,354818.0,354825.0,354832.0,354769.0,353746.0,353755.0,353754.0,353755.0,381910.0,354838.0
128x128x128w21-32-32,,358913.0,358887.0,358918.0,358891.0,358880.0,357834.0,357838.0,357848.0,383175.0,358924.0
128x128x128w22-32-26,,252082.0,252093.0,252087.0,252112.0,252074.0,252100.0,251261.0,251269.0,380989.0,252117.0
128x128x128w22-32-27,,248496.0,248490.0,248501.0,248526.0,248535.0,248559.0,247846.0,247846.0,375859.0,248566.0
128x128x128w22-32-28,,248066.0,248079.0,248065.0,248085.0,248083.0,248070.0,247487.0,247495.0,375068.0,248090.0
128x128x128w22-32-29,,249988.0,249971.0,250012.0,250013.0,250014.0,250037.0,249590.0,249604.0,377910.0,250044.0
128x128x128w22-32-30,,245930.0,245954.0,245940.0,245948.0,245930.0,245903.0,245637.0,245659.0,372169.0,245957.0
128x128x128w22-32-31,,246261.0,246292.0,246284.0,246300.0,246251.0,246291.0,246113.0,246114.0,372296.0,246303.0
128x128x128w22-32-32,,302046.0,302043.0,302045.0,302054.0,302024.0,302084.0,300973.0,300941.0,364605.0,302085.0
128x128x128w23-32-26,,252753.0,252746.0,252769.0,252763.0,252753.0,252739.0,252721.0,251887.0,362625.0,252773.0
128x128x128w23-32-27,,250921.0,250891.0,250909.0,250893.0,250924.0,250941.0,250942.0,250220.0,360127.0,250950.0
128x128x128w23-32-28,,250468.0,250475.0,250478.0,250489.0,250452.0,250465.0,250472.0,249904.0,359499.0,250493.0
128x128x128w23-32-29,,251198.0,251169.0,251178.0,251154.0,251168.0,251162.0,251199.0,250735.0,360454.0,251206.0
128x128x128w23-32-30,,248272.0,248264.0,248250.0,248281.0,248254.0,248250.0,248279.0,247966.0,356508.0,248286.0
128x128x128w23-32-31,,247251.0,247245.0,247262.0,247272.0,247223.0,247271.0,247265.0,247093.0,354971.0,247276.0
128x128x128w23-32-32,,303398.0,303418.0,303326.0,303429.0,303397.0,303433.0,303425.0,302302.0,347698.0,303436.0
128x128x128w24-32-26,,256692.0,256651.0,256687.0,256690.0,256688.0,256705.0,256713.0,256705.0,349935.0,256719.0
128x128x128w24-32-27,,255219.0,255213.0,255230.0,255239.0,255229.0,255234.0,255188.0,255231.0,347830.0,255246.0
128x128x128w24-32-28,,255354.0,255387.0,255371.0,255387.0,255379.0,255364.0,255344.0,255388.0,348213.0,255395.0
128x128x128w24-32-29,,253365.0,253348.0,253377.0,253347.0,253379.0,253354.0,253371.0,253371.0,345470.0,253383.0
128x128x128w24-32-30,,251066.0,251084.0,251075.0,251092.0,251075.0,251045.0,251077.0,251083.0,342558.0,251096.0
128x128x128w24-32-31,,250982.0,251001.0,250995.0,251023.0,251012.0,250965.0,250983.0,250985.0,342258.0,251027.0
128x128x128w24-32-32,,308298.0,308299.0,308308.0,308360.0,308327.0,308361.0,308353.0,308361.0,335471.0,308369.0
128x128x128w25-32-26,,324493.0,323676.0,323701.0,323730.0,323700.0,323710.0,323717.0,323718.0,431918.0,324494.0
128x128x128w25-32-27,,324506.0,323823.0,323829.0,323852.0,323813.0,323814.0,323842.0,323833.0,432015.0,324507.0
128x128x128w25-32-28,,322845.0,322290.0,322290.0,322313.0,322300.0,322276.0,322283.0,322287.0,429893.0,322846.0
128x128x128w25-32-29,,321026.0,320605.0,320617.0,320619.0,320582.0,320603.0,320609.0,320610.0,427567.0,321027.0
128x128x128w25-32-30,,318627.0,318316.0,318340.0,318343.0,318357.0,318325.0,318347.0,318297.0,424517.0,318628.0
128x128x128w25-32-31,,319021.0,318834.0,318864.0,318835.0,318873.0,318851.0,318857.0,318850.0,425114.0,319022.0
128x128x128w25-32-32,,386735.0,385708.0,385690.0,385703.0,385715.0,385737.0,385725.0,385731.0,411134.0,386739.0
128x128x128w26-24-32,,254437.0,254437.0,253651.0,253641.0,253617.0,253629.0,253630.0,253630.0,365139.0,254439.0
128x128x128w26-24-33,,193527.0,193531.0,192801.0,192789.0,192787.0,192794.0,192792.0,192828.0,366203.0,193533.0
128x128x128w26-24-34,,193275.0,193253.0,192621.0,192602.0,192590.0,192630.0,192614.0,192614.0,365690.0,193276.0
128x128x128w26-24-35,,193294.0,193300.0,192682.0,192703.0,192706.0,192728.0,192692.0,192740.0,365800.0,193302.0
128x128x128w26-24-36,,193248.0,193244.0,192749.0,192741.0,192757.0,192770.0,192731.0,192732.0,365603.0,193249.0
128x128x128w26-24-37,,193377.0,193381.0,192945.0,192961.0,192961.0,192988.0,192953.0,192951.0,366101.0,193383.0
128x128x128w26-24-38,,193435.0,193437.0,193079.0,193087.0,193089.0,193102.0,193075.0,193098.0,366140.0,193439.0
128x128x128w26-24-39,,193329.0,193347.0,193057.0,193068.0,193073.0,193077.0,193045.0,193056.0,366042.0,193349.0
128x128x128w26-32-22,,277383.0,277400.0,276618.0,276641.0,276655.0,276659.0,276665.0,276684.0,403475.0,277403.0
128x128x128w26-32-23,,276276.0,276262.0,275473.0,275473.0,275490.0,275508.0,275505.0,275516.0,401249.0,276278.0
128x128x128w26-32-24,,276083.0,276071.0,275288.0,275275.0,275306.0,275323.0,275329.0,275331.0,400515.0,276086.0
128x128x128w26-32-25,,276614.0,276597.0,275761.0,275755.0,275781.0,275817.0,275813.0,275826.0,401002.0,276615.0
128x128x128w26-32-26,,258626.0,258635.0,257764.0,257758.0,257772.0,257741.0,257765.0,257765.0,391207.0,258639.0
128x128x128w26-32-27,,260325.0,260330.0,259414.0,259450.0,259406.0,259418.0,259434.0,259434.0,392949.0,260332.0
128x128x128w26-32-28,,257850.0,257859.0,256924.0,256933.0,256925.0,256919.0,256917.0,256910.0,388316.0,257861.0
128x128x128w26-32-29,,257739.0,257743.0,256783.0,256770.0,256776.0,256769.0,256769.0,256785.0,387458.0,257745.0
128x128x128w26-32-30,,257068.0,257058.0,256067.0,256076.0,256056.0,256035.0,256072.0,256066.0,385406.0,257069.0
128x128x128w26-32-31,,258519.0,258507.0,257486.0,257470.0,257452.0,257469.0,257485.0,257469.0,386869.0,258521.0
128x128x128w26-32-32,,312353.0,312359.0,311238.0,311273.0,311273.0,311297.0,311297.0,311297.0,377647.0,312364.0
128x128x128w27-24-32,,254473.0,254469.0,254476.0,253701.0,253699.0,253707.0,253691.0,253672.0,364407.0,254479.0
128x128x128w27-24-33,,194354.0,194383.0,194352.0,193635.0,193661.0,193685.0,193662.0,193649.0,367052.0,194384.0
128x128x128w27-24-34,,193790.0,193794.0,193785.0,193161.0,193162.0,193181.0,193147.0,193180.0,366222.0,193798.0
128x128x128w27-24-35,,194413.0,194448.0,194418.0,193844.0,193867.0,193861.0,193861.0,193869.0,367364.0,194449.0
128x128x128w27-24-36,,194213.0,194244.0,194205.0,193705.0,193731.0,193718.0,193716.0,193742.0,366819.0,194245.0
128x128x128w27-24-37,,194485.0,194506.0,194483.0,194052.0,194086.0,194074.0,194072.0,194078.0,367315.0,194507.0
128x128x128w27-32-22,,275818.0,275837.0,275852.0,275077.0,275102.0,275135.0,275135.0,275135.0,398422.0,275855.0
128x128x128w27-32-23,,275059.0,275056.0,275062.0,274238.0,274296.0,274315.0,274307.0,274311.0,396977.0,275065.0
